"Código SIEX";"Tipo de medida fitosanitaria";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"Suelta de OCB";30/06/2023;;
"2";"Plantas banker o reservorio";30/06/2023;;
"3";"Colocación mallas anti-insectos";30/06/2023;;
"4";"Instalación de setos, márgenes funcionales o cubiertas temporales";30/06/2023;;
"5";"Falsa siembra";30/06/2023;;
"6";"Siembra directa";30/06/2023;;
"7";"Siembra en seco (arroz)";30/06/2023;;
"8";"Siega mecánica malas hierbas";30/06/2023;;
"9";"Laboreo eliminación de malas hierbas";30/06/2023;;
"10";"Solarización o biofumigación";30/06/2023;;
"11";"Usos de sustancias básicas";30/06/2023;;
"12";"Captura masiva a base de trampas luminosas ";30/06/2023;;
"14";"Trampas  y otros";30/06/2023;;
"15";"Feromonas y atrayentes para monitoreo";30/06/2023;;
